country_name,year,mental_health_value,indicator_code
IRN,2016,2.424945416,MH_12
TLS,2001,2.790701328,MH_12
SGP,2010,10.83400316,MH_12
LKA,2018,14.83560365,MH_12
HRV,2015,5.660613322,MH_12
PHL,2014,3.174374358,MH_12
BWA,2002,5.248135389,MH_12
AFR,2010,11.59033706,MH_12
MWI,2003,13.55254707,MH_12
CHE,2008,8.738716048,MH_12
GHA,2015,14.65630997,MH_12
GNQ,2018,11.13187801,MH_12
IRL,2019,3.855546394,MH_12
PER,2016,1.423789409,MH_12
ETH,2005,6.546364756,MH_12
SLV,2003,3.528101144,MH_12
CAF,2000,8.591057516,MH_12
SVK,2008,19.16104841,MH_12
DOM,2000,5.166508924,MH_12
OMN,2015,0.386522427,MH_12
HTI,2018,10.0107013,MH_12
JAM,2001,2.262463023,MH_12
MYS,2012,7.021418971,MH_12
GNQ,2014,14.50954477,MH_12
MWI,2007,13.26997279,MH_12
BDI,2000,20.63883341,MH_12
QAT,2003,3.384858381,MH_12
PHL,2017,1.97361569,MH_12
OMN,2014,1.775132929,MH_12
EST,2020,14.52110264,MH_12
GEO,2000,0.945116161,MH_12
KEN,2001,4.771340358,MH_12
VNM,2021,3.938844825,MH_12
ATG,2005,0.0,MH_12
PRI,2020,1.597290616,MH_12
AFG,2006,6.597560507,MH_12
NGA,2012,14.84678203,MH_12
GAB,2017,23.42640356,MH_12
KGZ,2008,21.20108529,MH_12
PRK,2018,6.702386824,MH_12
GUY,2008,29.48491805,MH_12
GLOBAL,2019,13.09097754,MH_12
HTI,2007,7.198392243,MH_12
LCA,2016,13.1150298,MH_12
GBR,2001,11.87358252,MH_12
ZWE,2014,13.47847824,MH_12
IRN,2002,6.601430664,MH_12
NGA,2019,13.5005256,MH_12
PRK,2012,8.975637369,MH_12
MLT,2016,2.340876933,MH_12
ERI,2003,21.82709855,MH_12
NZL,2014,11.05197383,MH_12
PSE,2018,1.3935095,MH_12
LSO,2008,26.46972583,MH_12
IRL,2012,4.409760279,MH_12
TKM,2002,20.36576743,MH_12
TKM,2010,7.976305612,MH_12
GLOBAL,2008,11.35408602,MH_12
JAM,2002,2.153441515,MH_12
ATG,2011,0.0,MH_12
MKD,2013,10.57060651,MH_12
GUY,2017,34.07362836,MH_12
TUR,2003,2.787314102,MH_12
TUR,2019,5.462428216,MH_12
MDA,2003,5.014909371,MH_12
SRB,2016,5.21068612,MH_12
CHN,2005,12.26044686,MH_12
MAR,2012,4.48356939,MH_12
CHL,2009,19.6572901,MH_12
ERI,2009,22.55976249,MH_12
BLR,2018,27.73203399,MH_12
TJK,2008,5.931552978,MH_12
KWT,2007,1.382392554,MH_12
IRL,2015,8.835590884,MH_12
NLD,2008,4.490929967,MH_12
STP,2009,1.998696507,MH_12
SYR,2018,1.188480343,MH_12
LTU,2010,56.47098405,MH_12
AMR,2020,3.782607626,MH_12
ZMB,2011,12.15948339,MH_12
ROU,2013,17.4140061,MH_12
IRQ,2012,2.243960551,MH_12
TKM,2004,5.106569045,MH_12
SLV,2012,2.717702583,MH_12
SGP,2015,7.517864455,MH_12
AFG,2020,6.943052358,MH_12
BEL,2002,17.22097804,MH_12
BLR,2006,8.857508778,MH_12
GUY,2011,31.59641848,MH_12
GTM,2011,2.473328726,MH_12
GAB,2004,12.19094104,MH_12
ARM,2019,2.03932907,MH_12
BEN,2021,19.3041884,MH_12
AZE,2003,1.446049356,MH_12
DJI,2006,8.062820107,MH_12
EMR,2003,7.412112005,MH_12
BDI,2003,10.50169432,MH_12
BIH,2002,15.83984276,MH_12
