country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
COM,2006,12.76262338,MH_12,Comoros,Comoros,1138.47908404345,79.72026252508348,4.482
UKR,2011,19.79279109,MH_12,Ukraine,Ukraine,3656.69799804688,96.1171826388401,7.851
ETH,2000,14.48569253,MH_12,Ethiopia,Ethiopia,122.269202606069,14.451319694519,3.499
SUR,2002,11.253978,MH_12,Suriname,Suriname,2202.340682196,70.4287109375,11.187
CHE,2009,6.520905931,MH_12,Seychelles,Seychelles,9747.09180546291,72.2663497924805,7.757837937420643
UGA,2010,20.78598306,MH_12,Portugal,Portugal,22551.935098809,107.523330688477,10.771
CAN,2014,6.23136466,MH_12,American Samoa,American Samoa,12026.3344929488,79.72026252508348,7.757837937420643
NAM,2003,26.10008961,MH_12,Namibia,Namibia,2569.24739317883,65.2594223022461,22.104
FIN,2009,26.46240861,MH_12,Finland,Finland,47478.3495310999,107.702293395996,8.249
PAK,2017,3.735242289,MH_12,Pakistan,Pakistan,1519.23459514248,35.3224248744451,3.204
SOM,2007,16.23701095,MH_12,"Somalia, Fed. Rep.","Somalia, Fed. Rep.",479.635628065289,6.01468992233276,18.687
GHA,2004,7.404065911,MH_12,Afghanistan,Afghanistan,221.763653873013,19.2143802642822,7.794
AUS,2014,17.74690882,MH_12,Australia,Australia,62817.2061751737,79.72026252508348,6.078
COM,2010,9.893919097,MH_12,Comoros,Comoros,1386.5742428453,79.72026252508348,4.19
MAR,2016,4.071426974,MH_12,Denmark,Denmark,54500.9260410217,131.441299438477,5.989
COL,2002,7.867739584,MH_12,Colombia,Colombia,2428.92969771584,78.1551971435547,14.481
HUN,2003,37.57496119,MH_12,Hungary,Hungary,8410.09248198479,101.850860595703,5.79
KEN,2002,4.806878689,MH_12,Kenya,Kenya,402.936385605382,41.8610191345215,2.916
EUR,2003,17.69968271,MH_12,Euro area,Euro area,27010.5876151819,104.906600952148,9.0218414865169
AUS,2017,12.56156333,MH_12,Australia,Australia,54117.547718609,153.576126098633,5.592
EST,2002,43.67621682,MH_12,Estonia,Estonia,5343.18310760735,99.0828704833984,10.026
SAU,2015,1.761025215,MH_12,Guinea-Bissau,Guinea-Bissau,645.066837207039,79.72026252508348,3.168
GEO,2015,7.763229492,MH_12,Georgia,Georgia,4086.6223465965,106.764155546761,16.506
NOR,2007,9.544031734,MH_12,North America,North America,47727.7701044725,95.4436721801758,4.78243165759455
SWE,2013,17.76382373,MH_12,Sweden,Sweden,60843.9888799369,132.713500976562,8.052
PRI,2004,12.97227416,MH_12,Sao Tome and Principe,Sao Tome and Principe,726.560882130444,39.6760902404785,16.12
ARM,2020,1.552129986,MH_12,Armenia,Armenia,4268.68093304583,88.5080298201293,18.175
PRI,2013,5.459633406,MH_12,Sao Tome and Principe,Sao Tome and Principe,1382.5757842916,63.3046607971191,12.476
ARE,2002,1.418183187,MH_12,Euro area,Euro area,22047.2795660791,104.744567871094,8.68085523881314
NGA,2020,8.321954511,MH_12,Hungary,Hungary,16386.9308821258,101.993041992188,4.248
NGA,2007,16.12778348,MH_12,Hungary,Hungary,13934.605460375,97.8563613891602,7.406
GUY,2021,10.56101775,MH_12,Guyana,Guyana,9860.87014834386,86.70068359375,14.576
DOM,2010,1.631305485,MH_12,Dominica,Dominica,7549.61964680375,108.655853271484,7.757837937420643
SUR,2001,11.42873303,MH_12,Suriname,Suriname,1714.64846637242,69.0101776123047,12.047
SYR,2016,1.163702478,MH_12,Syrian Arab Republic,Syrian Arab Republic,656.3490586313,79.72026252508348,13.798
COL,2000,8.689932367,MH_12,Colombia,Colombia,2555.00751039968,76.4044799804688,20.52
ISL,2015,20.67864027,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,99.2168379833578,7.757837937420643
IND,2009,14.1599287,MH_12,India,India,1094.94974598436,61.3603210449219,7.636
RWA,2009,22.47584263,MH_12,Norway,Norway,80347.5700665184,111.068412780762,3.1
LAO,2017,2.855688158,MH_12,Lao PDR,Lao PDR,2432.43059478511,66.0411073482017,3.268
UGA,2013,10.86155069,MH_12,Portugal,Portugal,21676.4859642714,118.932960510254,16.237
MEX,2016,9.317022054,MH_12,Mexico,Mexico,9097.92397674769,102.871368408203,3.853
AGO,2014,4.483892925,MH_12,Trinidad and Tobago,Trinidad and Tobago,21908.3014555644,79.72026252508348,2.477
LUX,2008,15.39193574,MH_12,Luxembourg,Luxembourg,120422.137934157,95.75830078125,5.06
CAN,2006,15.43054007,MH_12,American Samoa,American Samoa,8745.16621137404,79.72026252508348,7.757837937420643
MAR,2004,4.717765211,MH_12,Denmark,Denmark,46625.050098011,121.348091125488,5.204
ETH,2018,16.36623422,MH_12,Ethiopia,Ethiopia,739.702022272086,79.72026252508348,2.811
SLE,2019,6.93776416,MH_12,Isle of Man,Isle of Man,87127.5517977404,79.72026252508348,7.757837937420643
UZB,2021,6.536671284,MH_12,Uzbekistan,Uzbekistan,2258.51964119278,97.2589036917117,5.364
GIN,2009,11.58289092,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,104.85961151123,7.757837937420643
SUR,2005,25.00084482,MH_12,Suriname,Suriname,3453.42865937765,68.3932418823242,9.302
EGY,2000,0.535182789,MH_12,"Egypt, Arab Rep.","Egypt, Arab Rep.",1366.09274372613,77.8339462280273,8.98
ARE,2004,1.317425581,MH_12,Euro area,Euro area,30803.286099919,103.947647094727,9.2907687105215
SEN,2008,11.86172672,MH_12,Senegal,Senegal,1398.79218010021,30.7020606994629,2.816
EGY,2010,1.603818733,MH_12,"Egypt, Arab Rep.","Egypt, Arab Rep.",2455.08194645282,64.7296371459961,8.757
ARE,2013,2.182932963,MH_12,Euro area,Euro area,39097.5925470426,108.890731811523,11.9997144514046
VEN,2000,7.367824809,MH_12,Slovenia,Slovenia,10135.7219109212,102.752769470215,6.918
POL,2011,3.451254708,MH_12,French Polynesia,French Polynesia,22831.5185348524,79.72026252508348,12.257
MEX,2013,5.328256248,MH_12,Mexico,Mexico,11216.8008505428,93.2623062133789,4.921
TUN,2003,2.086739917,MH_12,Tunisia,Tunisia,2725.8643148859,76.0593566894531,14.51
BRA,2019,6.220086878,MH_12,Brazil,Brazil,9029.83304401079,103.953277587891,11.936
SUR,2003,41.55980839,MH_12,Suriname,Suriname,2516.10404020956,79.72026252508348,10.336
ITA,2003,5.394316668,MH_12,Italy,Italy,27577.5700319855,99.5263137817383,8.869
VEN,2013,6.07102291,MH_12,Slovenia,Slovenia,23236.9655321695,110.558929443359,10.103
THA,2019,3.708934258,MH_12,Thailand,Thailand,7605.69657797759,81.7206425877734,0.716
SEN,2014,12.21814366,MH_12,Senegal,Senegal,1398.89137601382,50.546931380439,5.849
AFR,2015,5.057672484,MH_12,Central African Republic,Central African Republic,366.322853938121,79.72026252508348,5.775
KOR,2000,14.57298014,MH_12,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",14722.823314233625,79.72026252508348,3.653
COM,2020,12.28322377,MH_12,Comoros,Comoros,1519.34665556206,79.72026252508348,4.468
QAT,2014,7.995742283,MH_12,Qatar,Qatar,95840.6898934238,97.8845311253665,0.2
UZB,2014,16.83147026,MH_12,Uzbekistan,Uzbekistan,2674.9628382103,91.7418371921357,5.09
LVA,2003,8.535499673,MH_12,El Salvador,El Salvador,2207.83089518069,64.1438369750977,6.9
GEO,2011,3.993309726,MH_12,Georgia,Georgia,4119.66818307193,79.72026252508348,19.632
ARE,2010,0.801469538,MH_12,Euro area,Euro area,37491.6114073082,108.635520935059,10.1740194070287
SOM,2021,11.43557623,MH_12,"Somalia, Fed. Rep.","Somalia, Fed. Rep.",549.056994756254,79.72026252508348,19.662
GIN,2017,8.357396782,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,88.7795275590551,7.757837937420643
GEO,2009,1.499405674,MH_12,Georgia,Georgia,2822.68939668797,106.653327941895,20.71
IND,2010,19.08600022,MH_12,India,India,1347.51939071367,64.9475936889648,7.631
RUS,2012,51.59931467,MH_12,Belarus,Belarus,6953.21591683101,107.657786407767,5.962
JOR,2021,0.328986277,MH_12,Jordan,Jordan,4183.49998326866,90.0636022467584,19.837
SLE,2017,13.05186416,MH_12,Isle of Man,Isle of Man,83481.3038489014,79.72026252508348,7.757837937420643
GAB,2019,12.88873924,MH_12,Gabon,Gabon,7441.1786472281,70.2639966402203,20.371
ETH,2015,9.946111631,MH_12,Ethiopia,Ethiopia,597.912113218663,33.9114221981431,2.442
UKR,2009,5.615861845,MH_12,Ukraine,Ukraine,2607.08764648438,97.3778762817383,8.84
ARG,2015,3.376156642,MH_12,Argentina,Argentina,13679.6264980954,107.504867553711,7.577
YEM,2020,4.954153037,MH_12,"Yemen, Rep.","Yemen, Rep.",14722.823314233625,79.72026252508348,17.963
PAN,2001,5.592573891,MH_12,Japan,Japan,34406.1824638092,79.72026252508348,5.02
SOM,2019,21.14800495,MH_12,"Somalia, Fed. Rep.","Somalia, Fed. Rep.",539.954816211694,79.72026252508348,18.828
PER,2009,0.886053255,MH_12,Upper middle income,Upper middle income,4710.56351783068,86.2024917602539,6.18449230113664
ARM,2004,1.678697199,MH_12,Armenia,Armenia,1130.08791444158,88.6511611938477,10.676
BEL,2005,8.785981862,MH_12,Belarus,Belarus,3126.07176665248,79.72026252508348,8.759
UKR,2003,26.31049092,MH_12,Ukraine,Ukraine,1076.48156738281,101.250122070312,9.057
GEO,2010,5.307812904,MH_12,Georgia,Georgia,3281.72930937343,79.72026252508348,20.203
AFG,2002,9.626535318,MH_12,Afghanistan,Afghanistan,178.954088379235,79.72026252508348,7.867
KEN,2011,16.89340503,MH_12,Kenya,Kenya,1096.14499807675,79.72026252508348,2.699
NOR,2010,14.39562525,MH_12,North America,North America,48545.7752706944,96.102783203125,9.47758645184374
JAM,2012,0.331827409,MH_12,Jamaica,Jamaica,5340.83333232158,79.72026252508348,8.695
SYR,2011,1.107785196,MH_12,Syrian Arab Republic,Syrian Arab Republic,2952.14349372257,72.3000030517578,8.626
KOR,2017,19.1448812,MH_12,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",14722.823314233625,79.72026252508348,3.498
SLE,2011,6.977675526,MH_12,Isle of Man,Isle of Man,77808.8579649376,79.72026252508348,7.757837937420643
AUS,2013,5.475399967,MH_12,Australia,Australia,68476.6788496118,79.72026252508348,5.663
MOZ,2020,35.697666,MH_12,Mozambique,Mozambique,462.433876479921,79.72026252508348,5.019
AFR,2018,17.96865104,MH_12,Central African Republic,Central African Republic,455.243962859534,79.72026252508348,5.825
UKR,2002,27.54480014,MH_12,Ukraine,Ukraine,903.011901855469,100.038528442383,10.136
AGO,2005,15.30771605,MH_12,Trinidad and Tobago,Trinidad and Tobago,12346.4373094075,79.72026252508348,7.95
GHA,2010,2.811289334,MH_12,Afghanistan,Afghanistan,560.621505463146,50.4406204223633,7.809
JOR,2003,1.730373324,MH_12,Jordan,Jordan,1775.67625581432,83.7643737792969,14.5
